Provinsi,jumlah sekolah sma (negeri),jumlah guru sma (negeri),jumlah murid sma (negeri),internet negeri,a negeri,b negeri,c negeri,d negeri,jumlah sekolah sma (swasta),jumlah guru sma (swasta),jumlah murid sma (swasta),internet swasta,a swasta,b swasta,c swasta,d swasta,rata_rata_lama_sekolah,angka melek aksara 15-59 tahun,total_ruang_kelas
aceh,394,12463,118487,85.53299492385787,2774,1300,878,522,145,1593,19170,86.20689655172413,560,220,72,38,9.55,99.65,6364
sumatera utara,432,16265,248734,86.80555555555556,4288,2063,747,412,635,8137,141165,90.86614173228348,4357,956,232,98,9.82,99.79,13153
sumatera barat,236,9800,138979,86.4406779661017,2813,882,588,328,102,1340,14556,91.17647058823528,542,185,36,23,9.28,99.89,5397
riau,313,10280,148011,87.8594249201278,3355,928,261,171,154,2093,24284,92.2077922077922,862,232,56,34,9.32,99.96,5899
jambi,163,5327,71000,82.82208588957054,1726,457,211,105,84,804,10429,83.33333333333334,281,166,42,3,8.81,99.86,2991
sumatera selatan,330,12180,171193,86.06060606060606,3175,1162,598,202,283,3276,48921,90.1060070671378,1496,462,187,61,8.5,99.69,7343
bengkulu,109,3936,51685,85.3211009174312,1058,395,236,30,42,351,3009,76.19047619047619,114,47,19,10,9.03,99.81,1909
lampung,239,8363,128161,87.44769874476988,2505,732,465,314,288,3342,44657,90.9722222222222,1180,406,256,78,8.29,99.4,5936
kepulauan bangka belitung,47,1493,27129,93.61702127659576,570,71,92,63,27,335,4325,96.29629629629628,165,31,8,18,8.25,99.39,1018
kepulauan riau,93,3004,49014,88.17204301075269,1082,216,84,18,75,778,8261,90.66666666666666,389,45,3,0,10.41,99.77,1837
dki jakarta,117,5184,88181,94.87179487179486,2322,224,7,3,379,6859,103924,95.77836411609498,3845,299,13,5,11.45,99.88,6718
jawa barat,514,25780,530509,97.85992217898831,9008,2583,1595,575,1254,17476,293262,95.6140350877193,7687,2415,661,227,8.83,99.81,24751
jawa tengah,362,18389,343035,96.96132596685084,7192,1595,518,276,499,7746,109919,96.9939879759519,3431,1020,269,79,8.01,98.66,14380
diy,69,2642,43387,98.55072463768116,954,248,75,36,104,1701,17744,97.1153846153846,765,124,54,14,9.83,99.07,2270
jawa timur,423,19970,351429,96.6903073286052,7380,1775,844,420,1094,14841,197252,95.61243144424132,6377,1745,609,246,8.11,98.27,19396
banten,161,6630,144431,95.65217391304348,2601,722,275,141,446,6107,80877,94.61883408071748,2777,606,144,55,9.15,99.88,7321
bali,90,4759,81893,91.11111111111111,1657,373,22,69,73,1095,13792,94.52054794520548,747,60,21,13,9.45,99.42,2962
nusa tenggara barat,150,7551,96571,93.33333333333331,1173,813,714,132,215,2183,20349,86.51162790697674,468,293,153,60,7.74,94.32,3806
nusa tenggara timur,393,12626,145341,70.22900763358778,2845,1141,491,436,218,4667,61698,84.40366972477065,1560,529,292,134,7.82,97.88,7428
kalimantan barat,285,6590,102734,78.24561403508771,2150,600,293,193,187,2011,29833,83.42245989304813,794,295,176,95,7.71,98.1,4596
kalimantan tengah,181,4462,56103,76.24309392265194,1355,457,184,86,64,686,6568,82.8125,224,110,11,16,8.73,99.93,2443
kalimantan selatan,142,4296,60883,88.73239436619718,1682,303,93,42,65,740,7281,95.3846153846154,328,55,31,12,8.55,99.89,2546
kalimantan timur,145,4290,68792,83.44827586206897,1225,599,238,39,92,1105,13541,92.3913043478261,403,184,49,5,9.99,99.9,2742
kalimantan utara,46,1205,16080,80.43478260869566,340,132,24,34,22,252,2806,95.45454545454544,105,36,6,15,9.34,99.14,692
sulawesi utara,121,3754,50115,83.47107438016529,1012,499,210,116,108,1035,13452,77.77777777777779,540,176,82,49,9.77,99.97,2684
sulawesi tengah,176,5077,73086,85.22727272727273,1382,551,312,164,58,606,6780,91.3793103448276,254,42,31,32,8.96,99.17,2768
sulawesi selatan,337,13382,193254,88.13056379821958,4026,1745,561,302,270,2785,36763,87.03703703703704,1120,521,178,42,8.76,97.39,8495
sulawesi tenggara,251,7969,89328,72.11155378486056,1812,721,490,437,64,566,5209,81.25,166,90,49,28,9.31,98.62,3793
gorontalo,62,1950,30376,79.03225806451613,802,147,20,41,9,123,1270,88.88888888888889,54,7,0,1,8.1,99.3,1072
sulawesi barat,77,2373,28370,70.12987012987013,694,180,114,56,15,91,1295,80.0,32,23,9,6,8.13,97.08,1114
maluku,215,5485,57822,71.16279069767441,1131,538,420,218,73,1236,11768,82.1917808219178,302,128,123,33,10.2,99.76,2893
maluku utara,139,3201,35868,56.11510791366906,719,329,231,62,85,744,8941,51.76470588235295,198,94,68,30,9.26,99.94,1731
papua barat,43,954,13327,58.13953488372093,495,289,47,35,21,331,3554,95.23809523809524,187,125,39,21,7.93,98.67,1238
papua,57,1467,22167,70.17543859649122,744,555,208,81,56,843,11102,83.92857142857143,427,367,110,31,7.15,84.83,2523
