Provinsi,Indeks_Pendidikan
ACEH,0.4987191923838813
SUMATERA UTARA,0.4471913262005824
SUMATERA BARAT,0.39837885032841663
RIAU,0.4122852930027211
JAMBI,0.3774792060937978
SUMATERA SELATAN,0.3818216211137891
BENGKULU,0.4389572364199638
LAMPUNG,0.3697405910613728
KEPULAUAN BANGKA BELITUNG,0.3582664633310181
KEPULAUAN RIAU,0.4154715606732103
DKI JAKARTA,0.417681409681307
JAWA BARAT,0.5084458747549667
JAWA TENGAH,0.3867610857743422
DIY,0.4034864247362037
JAWA TIMUR,0.4903013808103159
BANTEN,0.36735419762400157
BALI,0.34368401157693146
NUSA TENGGARA BARAT,0.38065632927204107
NUSA TENGGARA TIMUR,0.3995262552675036
KALIMANTAN BARAT,0.3368625807502583
KALIMANTAN TENGAH,0.4434673359341744
KALIMANTAN SELATAN,0.4063601231869056
KALIMANTAN TIMUR,0.38395811914335365
KALIMANTAN UTARA,0.45925952026217337
SULAWESI UTARA,0.40854993029273695
SULAWESI TENGAH,0.3828953181230771
SULAWESI SELATAN,0.38405430168662297
SULAWESI TENGGARA,0.46037976548076354
GORONTALO,0.3855600709990238
SULAWESI BARAT,0.3605727924048045
MALUKU,0.5045783965435254
MALUKU UTARA,0.45396811572679413
PAPUA BARAT,0.4210453773851419
PAPUA,0.25234663415754827
